"","Checking or savings account","Credit card or prepaid card","Credit reporting, credit repair services, or other personal consumer reports","Debt collection","Money transfer, virtual currency, or money service","Mortgage","Payday loan, title loan, or personal loan","Student loan","Vehicle loan or lease"
"funding",85,45,355,880,33,349,38,13,31
"fundingllc",0,0,0,1,0,0,0,0,0
"fundingt",0,0,0,0,0,1,0,0,0
"fundining",0,1,0,0,0,0,0,0,0
"fundling",0,0,0,2,0,0,0,0,0
"fundraise",0,0,0,0,0,1,0,0,0
"fundraised",0,0,0,0,1,0,0,0,0
"fundraiser",0,1,0,0,1,1,0,0,0
"funeral",11,10,15,12,6,10,3,0,1
"funes",0,0,0,0,1,0,0,0,0
"funished",0,0,1,0,0,0,0,0,0
"funisher",0,0,46,0,0,0,0,0,0
"funishers",0,0,2,0,0,0,0,0,0
"funiture",0,0,3,0,0,0,1,0,0
"funnel",1,3,4,0,3,4,0,0,1
"funny",14,20,76,42,5,22,4,1,6
"fur",1,1,2,0,1,0,0,0,1
"furbish",0,0,1,2,0,0,0,0,0
"furensic",0,0,0,1,0,0,0,0,0
"furhter",0,0,0,1,0,0,0,0,0
"furiated",0,0,0,0,1,0,0,0,0
"furiating",0,0,0,1,0,0,0,0,0
"furichers",0,0,1,0,0,0,0,0,0
"furing",0,0,1,0,0,0,0,0,0
"furinishers",0,0,1,0,0,0,0,0,0
"furious",25,40,77,15,7,36,4,5,12
"furiously",1,1,1,0,0,0,0,0,0
"furish",0,0,3,0,0,0,0,0,0
"furlough",11,29,30,26,0,63,14,10,22
"furloughed",0,1,0,0,0,0,0,0,0
"furloughednot",0,0,0,0,0,1,0,0,0
"furloughedthat",0,0,0,0,0,1,0,0,0
"furnace",0,5,2,3,5,6,3,0,1
"furni",0,0,2,0,0,0,0,0,0
"furniahed",0,0,2,0,0,0,0,0,0
"furnicher",0,0,2,0,0,0,0,0,0
"furnis",0,0,1,0,0,0,0,0,0
"furniser",0,0,1,0,0,0,0,0,0
"furnish",20,47,3951,593,2,42,9,11,32
"furnishe",0,0,3,0,0,0,0,0,0
"furnished",0,1,25,1,0,3,0,0,0
"furnisher",5,19,8125,169,0,2,2,16,8
"furnisherresolved",0,0,1,0,0,0,0,0,0
"furnishers",3,19,3303,83,0,2,0,4,3
"furnishes",0,1,45,9,0,0,0,0,0
"furnishexxxx",0,0,1,0,0,0,0,0,0
"furnishing",0,6,103,11,0,0,0,0,2
"furnishment",0,1,0,0,0,0,0,0,0
"furnitue",0,0,3,0,0,0,0,0,0
"furniture",19,205,127,93,31,17,56,2,0
"furnshes",0,0,1,0,0,0,0,0,0
"furnsiher",0,0,1,0,0,0,0,0,0
"furous",0,0,2,0,0,0,0,0,0
"furtherance",0,1,1,1,0,3,0,0,0
"furtherdocumentation",1,0,0,0,0,0,0,0,0
"furthering",0,1,0,0,0,0,0,0,0
"furthermore",124,217,798,514,35,203,16,54,51
"furthest",2,1,3,1,1,0,0,0,0
"furthmore",0,1,0,0,0,0,0,0,1
"furthur",1,1,0,0,0,1,0,0,0
"furthurmore",0,0,0,1,0,0,0,0,0
"furtner",0,0,0,0,0,1,0,0,0
"fury",0,0,2,1,0,0,0,0,0
"fuse",0,2,1,1,0,1,0,0,6
"fusion",1,0,0,0,0,0,0,0,13
"fuss",2,0,0,0,0,0,0,0,0
"fustrated",0,3,0,0,0,0,0,0,0
"fustrating",0,0,4,0,0,2,0,0,0
"fustration",0,1,0,0,0,1,0,0,0
"fut",0,0,0,0,0,1,0,0,0
"futere",0,0,0,0,0,1,0,0,0
"futher",3,0,17,2,1,6,0,0,2
"futherance",0,0,1,0,0,0,0,0,0
"futhermore",1,2,12,33,0,1,0,0,1
"futile",4,7,20,30,4,4,2,3,1
"futility",0,0,3,2,0,2,0,0,0
"futon",0,1,0,0,0,0,0,0,0
"futrther",1,0,0,0,0,0,0,0,0
"future",209,391,1048,411,78,368,54,92,93
"fuzzy",0,3,0,0,0,0,0,0,0
"fwd",1,3,2,2,3,3,1,0,0
"fwded",1,0,0,0,0,0,0,0,0
"fwee",0,0,0,0,0,1,0,0,0
"fxd",0,0,0,0,0,1,0,0,0
"fxnobels",0,0,0,0,1,0,0,0,0
"fxx",0,1,0,0,0,0,0,2,0
"fxxxx",1,1,6,1,1,1,0,0,0
"fxxxxr",0,0,0,1,0,0,0,0,0
"fyi",8,16,25,6,3,13,3,2,3
"fyxx",0,2,0,0,0,0,0,0,0
"fyxxxx",0,1,0,0,0,0,0,0,0
"gaap",0,1,12,63,0,4,0,0,2
"gaas",0,0,1,0,0,0,0,0,0
"gab",0,2,0,0,0,0,0,0,0
"gabby",0,0,1,0,0,0,0,0,0
"gad",0,1,0,0,0,1,0,0,0
"gadataproviderinstructionsv",0,0,0,2,0,0,0,0,0
"gadget",0,1,0,0,0,0,0,0,0
"gadream",0,0,1,0,0,0,0,0,0
"gaff",0,0,0,0,0,0,1,0,0
"gaffe",0,0,0,0,0,1,0,0,1
"gag",0,0,0,0,0,2,0,0,0
"gage",0,0,0,0,0,1,0,0,0
"gain",110,112,401,116,65,102,29,33,30
"gaind",0,0,1,0,0,0,0,0,0
"gained",2,0,0,0,0,0,0,0,0
"gaines",0,0,0,41,0,0,0,0,0
"gainful",0,0,22,4,0,1,2,4,1
"gainfully",1,6,14,6,0,9,1,2,0
"gaining",0,0,0,0,0,0,0,0,1
"gainings",0,0,1,0,0,0,0,0,0
"gainst",0,1,3,0,0,0,0,0,0
"gal",1,2,11,5,0,7,4,0,1
"galaxy",0,0,0,1,0,0,0,0,0
"galicia",0,0,0,1,0,0,0,0,0
"gall",4,7,4,1,0,1,0,1,1
"gallant",0,0,0,0,0,1,0,0,0
"galleria",0,0,0,2,0,0,0,0,0
"gallery",9,3,0,1,2,0,0,0,0
"galling",0,0,1,0,0,0,0,0,0
"gallivant",0,1,0,0,0,0,0,0,0
"gallon",0,14,0,1,0,4,0,0,0
"galocoa",0,0,1,0,0,0,0,0,0
"galvanize",0,0,0,0,0,2,0,0,0
"gam",0,0,0,4,0,0,0,0,0
"gambardella",0,0,0,0,0,1,0,0,0
"gambit",0,0,1,1,0,0,0,0,0
"gamble",3,4,4,1,2,4,0,0,2
"gambling",1,2,0,0,0,0,0,0,0
"game",60,144,177,76,68,100,12,9,15
"gamer",0,2,0,0,0,0,0,0,0
"gamers",0,0,2,0,0,0,0,0,0
"gamesmanship",0,0,0,0,0,1,0,0,0
"gaming",4,3,0,0,1,0,0,0,0
"gander",0,1,0,0,0,0,0,0,0
"ganes",0,0,0,1,0,0,0,0,0
"gang",1,6,10,10,1,1,1,1,2
"ganger",0,1,0,0,0,0,0,0,0
"gangster",0,0,0,1,0,0,1,0,0
"ganished",0,0,0,2,0,0,0,0,0
"ganishment",0,0,0,1,0,0,0,0,0
"gantry",0,0,0,0,2,0,0,0,0
"gaol",0,0,0,1,0,0,0,0,0
"gap",6,53,352,53,5,58,8,9,454
"gapinc",0,2,0,0,0,0,0,0,0
"gaping",0,0,0,1,0,0,0,1,0
"garage",3,21,31,17,2,34,3,0,16
"garaged",0,0,0,0,0,0,0,0,1
"garaging",0,0,0,0,0,0,0,0,1
"garantee",0,1,0,0,0,0,0,0,0
"garanteed",0,0,3,0,0,0,0,0,0
"garanteedrate",0,0,0,0,0,1,0,0,0
"garantees",0,1,0,0,0,0,0,0,0
"garauntor",0,1,0,0,0,0,0,0,0
"garb",1,0,0,0,0,0,0,0,0
"garbage",9,12,15,15,3,5,1,2,1
"garbishment",0,0,0,0,0,0,0,1,0
"garble",0,2,1,4,0,0,0,0,0
"garbled",0,0,0,0,0,1,0,0,0
"garbus",0,0,3,32,0,0,0,1,0
"gard",0,2,0,0,0,0,0,0,0
"garden",1,3,1,1,0,4,0,0,0
"gardiner",0,0,0,7,0,0,0,0,0
"garding",0,0,0,0,0,0,0,0,1
"gargabe",0,0,0,0,0,0,0,1,0
"garish",0,0,0,0,0,0,0,1,0
"garlic",0,1,0,0,0,0,0,0,0
"garment",0,0,0,1,0,0,0,0,1
"garn",0,0,0,0,0,4,0,0,0
"garned",1,0,0,0,0,0,0,0,0
"garner",1,3,1,5,0,3,0,0,1
"garninshment",0,0,0,0,0,0,0,1,0
"garnisedh",0,0,0,1,0,0,0,0,0
"garnish",31,11,79,615,2,11,25,137,29
"garnished",0,0,0,9,0,0,0,3,0
"garnishee",2,0,0,10,0,0,0,0,0
"garnishement",0,0,0,2,0,0,0,0,0
"garnisher",0,0,0,1,0,0,0,0,0
"garnishing",0,0,1,2,0,0,0,2,0
"garnishment",44,12,53,778,1,32,39,160,27
"garnshiment",0,0,0,4,0,0,0,0,0
"garunt",0,1,0,0,0,0,0,0,0
"garunteed",0,0,0,1,0,0,0,0,0
"gas",149,225,76,52,22,26,16,4,22
"gash",0,1,0,0,0,0,0,0,0
"gasket",0,0,0,2,0,1,0,0,4
"gaslight",0,0,0,1,0,0,0,0,0
"gaslighted",0,0,1,0,0,0,0,0,0
"gaslighting",1,0,0,2,0,0,0,2,0
"gasoline",5,28,0,1,0,0,0,1,1
"gasp",0,0,3,0,0,0,0,0,0
"gastritis",0,1,0,0,0,0,0,0,0
"gastroenterology",0,0,2,0,0,0,0,0,0
"gat",0,0,0,1,0,1,0,1,0
"gate",0,7,4,14,0,6,0,0,5
"gated",1,1,3,0,0,1,0,0,1
"gatehouse",0,0,0,0,0,2,0,0,0
"gatekeeper",1,0,0,0,0,3,0,0,0
"gatestone",0,0,0,28,0,0,0,0,0
"gateway",2,5,29,9,3,30,1,0,72
"gather",35,50,127,66,4,67,5,17,11
"gathered",0,0,1,0,0,0,0,0,0
"gatherer",0,0,1,0,0,0,0,0,0
"gathering",5,4,7,1,0,8,1,0,0
"gatus",1,0,0,0,0,0,0,0,0
"gauching",0,0,0,0,0,0,0,0,1
"gauge",1,3,5,1,1,5,4,0,1
"gauging",0,2,1,0,0,0,0,0,1
"gaul",0,1,0,0,0,0,0,0,0
"gauntlet",0,0,2,0,1,1,0,0,0
"gaurantee",0,0,0,0,0,1,0,0,0
"gauranteed",0,0,1,0,0,0,0,0,0
"gaurantees",0,0,0,0,1,0,0,0,0
"gaurdian",0,0,3,0,0,0,0,0,0
"gaurentee",1,0,0,1,0,0,0,0,0
"gaurenteed",0,0,0,0,0,1,0,0,0
"gaurentees",0,0,0,0,0,1,0,0,0
"gav",1,0,1,0,0,0,0,0,0
"gaved",0,0,0,0,0,1,0,0,0
"gaves",0,0,1,0,0,0,0,0,0
"gaving",0,0,2,0,0,0,0,0,0
"gaxxxx",0,0,10,5,0,0,0,0,0
"gay",0,0,0,0,0,2,0,0,0
"gazebo",4,0,0,0,0,0,0,0,0
"gazillionth",0,0,1,0,0,0,0,0,0
"gbl",0,0,0,0,0,1,0,0,0
"gbp",0,0,5,0,28,0,0,0,0
"gbpxxxx",0,0,0,0,4,0,0,0,0
"gbpxxxxxxxx",0,0,0,0,1,0,0,0,0
"gcc",0,0,2,0,0,0,0,0,0
"gcfs",0,0,0,8,0,0,0,0,0
"gclid",0,1,0,0,1,0,0,0,0
"gclsrc",0,1,0,0,1,0,0,0,0
"gcoud",0,1,0,0,0,0,0,0,0
"gcs",0,0,0,4,3,0,0,0,0
"gcsf",0,0,0,1,0,0,0,0,0
"gcvcp",0,0,9,0,0,0,0,0,0
"gdax",0,0,0,0,1,0,0,0,0
"gdol",1,3,0,0,0,0,0,0,0
"gear",1,4,10,12,1,6,4,2,11
"geared",0,0,2,0,0,0,0,0,0
"gearing",0,0,0,1,0,0,0,0,0
"gecalls",0,0,1,0,0,0,0,0,0
"ged",0,0,1,1,0,0,0,0,0
"gee",1,2,0,1,0,0,0,0,0
"geek",0,2,0,2,0,0,0,0,0
"geeting",0,0,1,0,0,0,0,0,0
"gejtting",0,0,1,0,0,0,0,0,0
"gel",0,0,0,0,0,0,0,1,0
"gem",0,0,2,3,5,0,0,0,0
"gemini",0,0,0,0,17,0,0,0,0
"gemologist",0,1,0,0,0,0,0,0,0
"gemstone",0,1,0,0,1,0,0,0,0
"gen",0,0,26,4,1,2,0,2,0
"gender",6,14,27,6,2,18,3,0,4
"gendering",0,0,0,1,0,0,0,0,0
"genealogy",0,2,0,0,0,0,0,0,0
"geneology",1,0,0,0,0,0,0,0,0
"gener",0,0,4,0,0,0,0,0,0
"general",158,327,2839,1003,69,307,62,63,147
"generala",0,0,14,0,0,0,0,0,0
"generalbefore",0,0,1,0,0,0,0,0,0
"generalif",0,0,3,0,0,0,0,0,0
"generalise",0,1,0,0,0,0,0,0,0
"generality",0,4,3,0,0,1,0,0,0
"generalization",0,1,0,0,0,0,0,0,0
"generalize",0,1,0,0,0,0,1,0,0
"generalized",0,2,2,0,0,1,0,0,0
"generall",0,0,1,0,0,0,0,0,0
"generally",30,70,133,40,8,48,3,5,3
"generalmonday",0,0,0,0,0,1,0,0,0
"generalnotwithstanding",0,0,1,0,0,0,0,0,0
"generalsubject",0,0,2,0,0,0,0,0,0
"generalxxxx",0,0,4,0,0,0,0,0,0
"generate",88,365,616,296,34,225,53,91,110
"generated",4,2,6,1,0,4,2,3,1
"generatedxx",0,0,0,1,0,0,0,0,0
"generates",0,2,0,0,1,2,0,0,0
"generating",0,0,0,0,0,1,0,0,0
"generation",3,9,27,2,4,1,6,8,1
"generational",0,0,0,0,0,0,0,1,0
"generator",2,9,0,4,0,0,0,0,0
"generaxxxx",0,0,1,0,0,0,0,0,0
"generdispute",0,0,7,0,0,0,0,0,0
"generic",35,74,261,52,25,39,7,8,7
"generically",0,0,4,0,1,1,0,1,0
"generosity",0,2,0,0,0,1,0,0,1
"generous",1,14,21,5,1,11,0,1,2
"generously",0,1,1,0,0,0,0,0,0
"genesis",4,2,508,39,0,0,0,0,0
"genesixxxx",0,0,0,1,0,0,0,0,0
"genesys",0,0,0,2,0,0,0,0,0
"genetic",0,0,1,1,0,1,0,0,0
"geneva",0,0,0,0,0,1,0,0,0
"genger",0,0,1,0,0,0,0,0,0
"genis",0,1,0,0,0,0,0,0,0
"geniss",0,1,0,0,0,0,0,0,0
"genius",2,2,10,0,0,2,0,1,1
"genrated",0,1,0,0,0,0,0,0,0
"gensis",0,0,0,1,0,0,0,0,0
"gent",0,0,0,0,1,1,0,0,0
"genterated",0,0,2,0,0,0,0,0,0
"gentle",1,1,0,0,0,1,0,0,1
"gentleman",55,87,97,133,21,90,13,9,36
"gentlemen",0,1,0,0,0,0,0,0,0
"gentlemexxxx",0,0,0,0,1,0,0,0,0
"gentlmen",0,0,0,0,0,0,0,0,1
"gentrification",0,0,0,0,0,3,0,0,0
"gentry",0,0,1,0,0,0,0,0,0
"genuine",7,11,16,9,10,8,1,0,1
"genuinely",5,10,40,6,1,12,0,2,0
"genuineness",1,0,0,0,2,0,0,0,0
"genus",0,0,5,0,0,3,0,0,1
"geo",1,1,1,0,0,1,0,0,0
"geogia",0,0,0,1,0,0,0,0,0
"geographic",0,6,1,8,0,2,0,0,1
"geographical",0,3,10,9,0,6,1,0,0
"geographically",1,0,0,0,0,1,0,0,0
"geography",0,1,1,0,2,1,0,0,1
"geolocation",0,0,0,0,1,0,0,0,0
"geolocations",0,0,1,0,0,0,0,0,0
"george",1,1,4,0,0,25,0,0,0
"georgia",71,78,250,196,21,62,12,3,37
"georgias",0,1,0,0,0,0,1,0,0
"georgie",0,0,0,1,0,0,0,0,0
"georiga",0,0,2,0,0,0,0,0,0
"ger",0,0,1,0,0,1,0,0,0
"gerald",0,0,0,1,0,0,0,0,0
"gerard",0,0,0,1,0,0,0,0,0
"geri",0,0,0,0,0,1,0,0,0
"germ",1,0,0,0,0,0,0,0,0
"germain",0,0,0,0,0,3,0,0,0
"germane",0,2,5,0,1,0,0,0,0
"germinate",0,1,0,0,0,0,0,0,0
"gest",0,1,0,0,0,0,0,0,0
"gesture",14,12,77,8,3,7,1,0,5
"get",6280,11565,25102,8695,3134,11526,1875,2026,3370
"getbthrough",0,1,0,0,0,0,0,0,0
"getgo",0,1,0,0,0,0,0,0,0
"gether",0,0,1,0,0,0,0,0,0
"geting",0,0,2,0,0,0,0,0,0
"getit",0,1,0,0,0,0,0,0,0
"getmyoffer",0,1,0,0,0,0,0,0,0
"getnewrez",0,0,0,0,0,1,0,0,0
"getter",0,0,0,1,0,0,0,0,0
"gettin",0,0,8,0,3,3,0,0,1
"gettingit",0,1,0,0,0,0,0,0,0
"gettjng",0,1,0,0,0,0,0,0,0
"gettn",0,0,0,0,0,0,1,0,0
"gettng",0,0,3,0,0,0,0,0,0
"getton",0,0,0,0,0,1,0,0,0
"gettting",0,2,2,0,0,0,0,0,0
"gety",0,1,0,0,0,0,0,0,0
"geuss",0,0,0,0,1,0,0,0,0
"gfe",0,0,0,0,0,12,0,0,0
"gfesignla",0,2,0,0,0,0,0,0,0
"gfor",0,1,0,0,0,0,0,0,0
"gfot",0,0,0,0,0,1,0,0,0
"gfr",0,0,1,0,0,0,0,0,0
"gfs",0,0,2,0,0,0,0,0,0
"ggl",0,0,0,0,0,0,1,0,0
"ggod",0,0,0,1,0,1,0,0,0
"ghange",0,0,1,0,0,0,0,0,0
"ghastly",0,0,1,0,0,0,0,0,0
"ghave",0,0,1,0,0,0,0,0,0
"ghe",0,0,1,0,0,0,0,0,0
"ghen",0,0,0,0,1,0,0,0,0
"ghetto",0,0,0,3,0,1,0,0,2
"ghey",0,1,0,0,0,0,0,0,1
"ghfa",0,0,0,2,0,0,0,0,0
"ghost",7,10,5,8,9,7,1,1,6
"ghosted",0,0,0,0,0,1,0,0,0
"ghostwrote",1,0,0,0,0,0,0,0,0
"giant",6,14,25,8,3,15,2,2,0
"gibberish",0,7,0,0,2,1,0,0,0
"gibbs",0,0,1,0,0,0,0,0,0
"gibe",0,1,0,0,0,0,0,0,0
"gibson",0,0,8,0,0,0,0,0,0
"gic",8,0,0,0,0,0,0,0,0
"gics",1,0,0,0,0,0,0,0,0
"giddy",0,0,0,1,0,0,0,0,0
"gie",0,0,2,0,0,0,0,0,0
"gift",103,642,43,41,89,48,18,0,11
"giftcard",0,5,0,4,0,1,0,0,1
"giftcardmall",0,1,0,0,0,0,0,0,0
"giftcards",1,11,0,0,1,0,0,0,0
"gifters",0,0,0,0,0,1,0,0,0
"gig",8,1,2,5,0,0,0,1,2
"gigabit",0,0,0,1,0,0,0,0,0
"gigantic",1,2,4,2,0,3,0,0,0
"giggle",2,0,0,1,0,2,0,0,1
"giggling",0,0,1,0,0,0,0,0,0
"gila",0,0,0,1,0,0,0,0,0
"gill",0,0,4,0,0,0,0,0,0
"gillespie",0,0,0,1,0,0,0,0,0
"gillie",0,0,3,0,0,0,0,0,0
"gim",1,0,0,0,0,0,0,0,0
"gime",0,0,0,0,0,1,0,0,0
"gimmick",1,2,5,2,0,2,2,0,0
"gimmicky",0,0,0,0,0,1,0,0,0
"gin",0,0,0,0,0,1,0,0,0
"ginal",0,0,0,0,1,0,0,0,0
"ginnie",0,0,0,0,0,1,0,0,0
"ginny",0,0,12,1,0,0,0,0,0
"ginnys",0,3,7,2,0,0,0,0,0
"ginormous",1,0,0,0,0,0,0,0,0
"ginuine",0,0,0,1,0,0,0,0,0
"giorgia",0,0,0,1,0,0,0,0,0
"girl",23,36,42,50,10,15,8,5,11
"girlfriend",23,43,50,42,23,13,12,0,12
"girlfriends",0,1,2,0,1,0,0,0,0
"girls",0,0,0,0,0,0,1,0,0
"girt",1,0,0,0,0,0,0,0,0
"gist",1,2,7,1,1,1,1,0,0
"giude",0,0,0,1,0,0,0,0,0
"give",3925,5368,11247,5858,1543,4622,864,891,1325
"givea",0,0,0,1,0,0,0,0,0
"giveaway",1,0,1,1,1,0,0,0,0
"giveme",0,0,2,0,0,0,0,0,0
"giveness",0,0,0,0,0,0,0,0,1
"givenon",0,0,0,0,0,1,0,0,0
"giver",0,1,1,1,1,2,0,0,0
"givevn",0,0,0,1,0,0,0,0,0
"givien",0,0,1,0,0,0,0,0,0
"givign",0,0,0,1,0,0,0,0,0
"givin",1,0,0,0,0,0,0,0,0
"givnen",0,0,0,0,0,1,0,0,0
"givng",0,1,0,0,0,0,0,0,0
"givwe",0,0,0,0,0,1,0,0,0
"gjh",0,0,0,1,0,0,0,0,0
"gjn",0,0,0,0,1,0,0,0,0
"gla",0,0,10,56,0,0,0,0,0
"glacier",9,0,0,0,0,0,0,0,0
"glad",28,36,27,14,8,25,4,4,9
"gladiator",0,0,1,0,0,0,0,0,0
"gladly",6,27,64,40,9,24,4,3,15
"glance",1,4,7,1,4,3,0,0,0
"glare",3,5,0,0,0,4,0,1,0
"glaring",1,4,5,0,0,3,0,0,0
"glaringly",1,1,1,1,0,1,0,0,0
"glass",5,26,8,9,2,7,4,2,3
"glasser",0,2,0,27,0,0,0,0,0
"glb",0,0,7,2,0,0,0,0,0
"glba",0,4,1,2,0,0,0,0,3
"glblndsvcs",0,0,3,0,0,0,0,0,0
"glcm",0,0,0,13,0,0,0,0,0
"glcms",0,0,0,1,0,0,0,0,0
"glcmwhich",0,0,0,1,0,0,0,0,0
"glean",0,1,0,1,0,1,0,0,0
"gleason",0,0,0,1,0,0,0,0,0
"glee",0,0,0,1,1,0,0,0,0
"gleefully",1,0,0,0,0,1,0,0,0
"gleen",0,0,0,0,0,1,0,0,0
"glelsi",0,0,8,0,0,0,0,1,0
"glesi",0,0,2,0,0,0,0,0,0
"glib",0,0,0,2,0,0,0,0,0
"gliche",1,0,0,1,0,1,0,0,0
"glid",0,0,0,0,0,0,0,1,0
"glide",0,0,0,0,0,0,0,1,0
"glimpse",0,2,1,18,0,0,0,0,0
"glip",0,0,0,0,1,0,0,0,0
"glitch",40,72,143,20,16,56,12,8,5
"glitched",1,0,5,1,0,0,0,0,0
"glitches",0,0,0,0,1,0,0,0,0
"glitching",1,1,0,0,0,0,0,0,0
"glitchy",0,1,1,0,0,1,0,0,0
"global",41,117,137,193,16,42,7,16,59
"globalcashcard",0,1,0,0,0,0,0,0,0
"globalcoinlogistics",0,1,0,0,0,0,0,0,0
"globalization",0,0,0,0,1,0,0,0,0
"globally",1,4,1,3,3,1,1,2,1
"globaxxxx",0,0,0,1,0,0,0,0,0
"globe",1,3,5,2,3,3,0,0,0
"gloom",0,0,0,0,0,1,0,0,0
"glorified",1,0,2,0,0,0,0,0,0
"glorify",0,1,0,0,0,0,0,0,0
"gloriously",0,0,1,0,0,0,0,0,0
"glory",1,0,3,0,0,0,0,0,1
"gloss",0,0,50,4,1,2,0,0,0
"glossy",0,0,0,0,0,1,0,0,0
"gloud",0,1,0,0,0,0,0,0,0
"glove",22,1,1,4,1,0,0,0,7
"glover",0,0,0,1,0,0,0,0,0
"gloves",6,0,0,0,0,0,0,0,0
"glow",0,0,0,1,0,2,0,0,0
"glowering",2,0,0,0,0,0,0,0,0
"gls",0,0,4,0,0,0,0,0,14
"glsllc",0,0,1,0,0,0,0,0,0
"glue",0,2,2,0,1,0,0,0,2
"glut",0,0,1,1,0,0,0,0,0
"gluten",0,2,0,0,0,0,0,0,0
"gma",0,0,0,5,0,0,0,0,0
"gmac",0,0,2,4,0,35,0,0,10
"gmail",9,3,2,2,4,1,1,0,0
"gmc",0,0,0,1,0,0,0,0,15
"gmcard",0,3,1,0,0,0,0,0,0
"gmcardbacked",0,1,0,0,0,0,0,0,0
"gmcc",0,0,0,0,0,2,0,0,0
"gmf",0,0,8,0,0,0,0,0,3
"gmfinancial",0,0,2,0,0,0,0,0,0
"gmfs",0,0,4,0,0,31,0,0,0
"gms",0,0,1,0,0,0,0,0,2
"gmt",0,2,0,1,2,1,0,0,0
"gnarley",0,0,0,0,0,1,0,0,0
"gnma",0,0,0,1,0,1,0,0,0
"goa",0,0,1,0,0,0,0,0,0
"goad",0,1,1,1,0,0,0,0,0
"goal",24,49,175,49,5,104,2,25,12
"goalpost",1,0,0,0,0,3,0,0,0
"goals",0,0,0,0,1,0,0,0,0
"goat",1,8,0,0,0,0,0,0,0
"gob",0,0,0,0,1,0,0,0,0
"goback",0,1,0,0,0,0,0,0,0
"gobbledygook",0,1,0,0,0,0,0,1,0
"gobrochure",0,1,0,0,0,0,0,0,0
"gobsmacked",0,0,0,0,0,0,1,0,0
"goc",0,0,4,0,0,0,0,0,0
"gocard",0,2,0,0,0,0,0,0,0
"god",25,30,72,63,12,39,2,6,5
"godaddy",0,0,0,1,0,0,0,0,0
"godbless",0,0,5,1,0,0,0,0,0
"godbole",0,0,0,2,0,0,0,0,0
"goddamn",0,0,0,1,0,0,0,0,0
"godinez",0,0,1,0,0,0,0,0,0
"godly",0,0,0,1,0,0,0,0,0
"godmother",0,1,3,0,2,0,0,0,0
"godsend",0,0,0,0,0,0,0,1,0
"godspeed",0,0,0,0,0,0,0,1,0
"goedcclient",0,1,0,0,0,0,0,0,0
"goer",0,0,0,0,0,1,0,0,0
"goergia",0,0,0,1,0,0,0,0,0
"goerment",1,0,0,0,0,0,0,0,0
"goetting",0,0,3,0,0,0,0,0,0
"gofarrewards",0,2,0,0,0,0,0,0,0
"goff",0,0,9,0,0,0,0,0,0
"goforward",0,2,0,0,0,0,0,0,0
"goggan",0,0,0,23,0,0,0,0,0
"goggen",0,0,0,1,0,0,0,0,0
"goggle",0,0,0,1,0,1,0,0,0
"gogo",0,1,0,0,0,0,0,0,0
"gogued",0,0,0,0,1,0,0,0,0
"goin",5,3,6,0,1,3,0,0,1
"going",1,0,0,0,0,0,0,0,0
"goingg",0,1,0,0,0,0,0,0,0
"goingrefusing",0,1,0,0,0,0,0,0,0
"goinng",0,0,0,0,0,0,1,0,0
"goinstantlyto",0,0,1,0,0,0,0,0,0
"goint",0,1,0,0,0,0,0,0,0
"goiny",0,1,0,0,0,0,0,0,0
"gold",21,125,49,20,9,70,5,1,4
"goldberg",0,0,0,1,0,1,1,0,0
"golden",11,3,10,3,7,22,12,0,1
"goldman",62,230,81,24,12,0,18,0,0
"goldmansachs",0,2,3,0,0,0,0,0,0
"goldmen",0,0,0,0,1,0,0,0,0
"goldsman",0,0,0,0,0,0,1,0,0
"goldstein",0,0,0,0,0,0,0,0,1
"golf",1,4,2,4,0,1,0,0,1
"golfer",0,0,0,1,0,0,0,1,0
"golfing",0,0,0,0,0,1,0,0,0
"goliath",0,2,2,0,0,1,0,0,0
"gompany",0,0,0,0,0,1,0,0,0
"gon",27,37,43,37,22,22,19,1,14
"gona",1,0,0,1,1,0,0,0,0
"gong",0,3,3,0,1,1,0,0,1
"goo",0,1,2,0,1,0,0,0,0
"good",719,1997,7283,1785,331,1643,251,278,387
"goodbye",6,10,10,7,0,20,0,0,1
"goodi",0,0,0,0,0,0,0,1,0
"goodman",0,0,0,2,0,0,0,0,0
"goodmortgage",0,0,0,0,0,1,0,0,0
"goodness",2,5,5,7,0,4,1,1,1
"goodnight",0,0,0,0,0,1,0,0,0
"goodstanding",3,0,0,0,0,0,0,0,0
"goodtheir",0,0,0,0,1,0,0,0,0
"goodwill",6,36,408,52,0,8,2,10,14
"goody",0,2,0,0,0,0,0,0,0
"goodyear",0,7,3,0,0,0,0,0,0
"goof",1,2,1,0,0,0,0,0,0
"goofed",0,0,0,0,0,1,0,0,1
"goofty",0,0,1,0,0,0,0,0,0
"googain",0,0,0,0,0,2,0,0,0
"google",7,96,23,16,148,4,3,0,1
"googled",0,0,0,0,1,0,0,0,0
"googling",1,0,0,0,0,0,0,0,0
"goohle",0,0,0,0,1,0,0,0,0
"goon",0,0,0,2,0,0,0,1,0
"goose",0,8,5,2,0,3,0,0,0
"goosechase",0,0,0,0,1,0,0,0,0
"gop",0,0,0,0,0,0,1,0,0
"goprogram",1,29,0,0,0,0,0,0,0
"gor",0,0,1,1,0,2,0,0,0
"gorce",0,0,0,0,0,1,0,0,0
"gordon",0,0,0,6,0,0,0,0,0
"gorget",0,0,0,0,0,1,0,0,0
"gorilla",0,0,0,0,0,1,0,0,0
"gosh",0,0,6,2,1,2,0,1,0
